date,station_name,brand,fuel_type,price_cpl,address,suburb,postcode,area,region,source_file,station_id,year,month,month_name,day_of_week,day_number,is_weekend
2026-01-01,7-Eleven Alkimos,7-Eleven,ULP,169.9,10 Carlsbad Prom,ALKIMOS,6038,North of River,Metro,fuelwatch_2026_01.csv,7-eleven alkimos_10 carlsbad prom_alkimos,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Ascot,7-Eleven,ULP,179.9,194 Great Eastern Hwy,ASCOT,6104,South of River,Metro,fuelwatch_2026_01.csv,7-eleven ascot_194 great eastern hwy_ascot,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Balcatta,7-Eleven,ULP,179.9,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,fuelwatch_2026_01.csv,7-eleven balcatta_174 balcatta rd_balcatta,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Baldivis,7-Eleven,ULP,179.9,370 Baldivis Rd,BALDIVIS,6171,South of River,Metro,fuelwatch_2026_01.csv,7-eleven baldivis_370 baldivis rd_baldivis,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Balga,7-Eleven,ULP,179.9,102 Princess Rd,BALGA,6061,North of River,Metro,fuelwatch_2026_01.csv,7-eleven balga_102 princess rd_balga,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Banksia Grove,7-Eleven,ULP,179.9,1/300 Joseph Banks Bvd,BANKSIA GROVE,6031,North of River,Metro,fuelwatch_2026_01.csv,7-eleven banksia grove_1/300 joseph banks bvd_banksia grove,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Bassendean,7-Eleven,ULP,179.9,302-318 Collier Rd,BASSENDEAN,6054,North of River,Metro,fuelwatch_2026_01.csv,7-eleven bassendean_302-318 collier rd_bassendean,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Bentley,7-Eleven,ULP,185.9,1133-1135 Albany Hwy,BENTLEY,6102,South of River,Metro,fuelwatch_2026_01.csv,7-eleven bentley_1133-1135 albany hwy_bentley,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Bibra Lake,7-Eleven,ULP,185.9,35 Port Kembla Dr,BIBRA LAKE,6163,South of River,Metro,fuelwatch_2026_01.csv,7-eleven bibra lake_35 port kembla dr_bibra lake,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Booragoon,7-Eleven,ULP,179.9,492 Marmion St,BOORAGOON,6154,South of River,Metro,fuelwatch_2026_01.csv,7-eleven booragoon_492 marmion st_booragoon,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Brabham,7-Eleven,ULP,185.9,3 Marvel Ent,BRABHAM,6055,East/Hills,Metro,fuelwatch_2026_01.csv,7-eleven brabham_3 marvel ent_brabham,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Butler,7-Eleven,ULP,179.9,270 Butler Bvd,BUTLER,6036,North of River,Metro,fuelwatch_2026_01.csv,7-eleven butler_270 butler bvd_butler,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Byford South,7-Eleven,ULP,179.9,25 Abernethy Rd,BYFORD,6122,South of River,Metro,fuelwatch_2026_01.csv,7-eleven byford south_25 abernethy rd_byford,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Carlisle,7-Eleven,ULP,179.9,232 Orrong Rd,CARLISLE,6101,South of River,Metro,fuelwatch_2026_01.csv,7-eleven carlisle_232 orrong rd_carlisle,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Caversham,7-Eleven,ULP,179.9,2131 West Swan Rd,CAVERSHAM,6055,North of River,Metro,fuelwatch_2026_01.csv,7-eleven caversham_2131 west swan rd_caversham,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Clarkson,7-Eleven,ULP,181.9,19 Neerabup Dr,CLARKSON,6030,North of River,Metro,fuelwatch_2026_01.csv,7-eleven clarkson_19 neerabup dr_clarkson,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Cockburn Central,7-Eleven,ULP,179.9,814 North Lake Rd,COCKBURN CENTRAL,6164,South of River,Metro,fuelwatch_2026_01.csv,7-eleven cockburn central_814 north lake rd_cockburn central,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Dayton,7-Eleven,ULP,185.9,10 Swaisdale Ent,DAYTON,6055,North of River,Metro,fuelwatch_2026_01.csv,7-eleven dayton_10 swaisdale ent_dayton,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Ellenbrook Central,7-Eleven,ULP,185.9,Cnr Main St & Pinaster Pde,ELLENBROOK,6069,North of River,Metro,fuelwatch_2026_01.csv,7-eleven ellenbrook central_cnr main st & pinaster pde_ellenbrook,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Forrestdale,7-Eleven,ULP,179.9,2 Haydock St,FORRESTDALE,6112,South of River,Metro,fuelwatch_2026_01.csv,7-eleven forrestdale_2 haydock st_forrestdale,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Golden Bay,7-Eleven,ULP,169.9,52 Thundelarra Dr,GOLDEN BAY,6174,South of River,Metro,fuelwatch_2026_01.csv,7-eleven golden bay_52 thundelarra dr_golden bay,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Gosnells,7-Eleven,ULP,185.9,303 Corfield St,GOSNELLS,6110,South of River,Metro,fuelwatch_2026_01.csv,7-eleven gosnells_303 corfield st_gosnells,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Harrisdale,7-Eleven,ULP,179.9,120 Yellowwood Ave,HARRISDALE,6112,South of River,Metro,fuelwatch_2026_01.csv,7-eleven harrisdale_120 yellowwood ave_harrisdale,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Haynes,7-Eleven,ULP,185.9,1256 Armadale Rd,ARMADALE,6112,South of River,Metro,fuelwatch_2026_01.csv,7-eleven haynes_1256 armadale rd_armadale,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Joondalup,7-Eleven,ULP,185.9,8 Buick Way,JOONDALUP,6027,North of River,Metro,fuelwatch_2026_01.csv,7-eleven joondalup_8 buick way_joondalup,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Kardinya,7-Eleven,ULP,179.9,1 South St,KARDINYA,6163,South of River,Metro,fuelwatch_2026_01.csv,7-eleven kardinya_1 south st_kardinya,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Kelmscott,7-Eleven,ULP,179.9,105 Champion Dr,KELMSCOTT,6111,South of River,Metro,fuelwatch_2026_01.csv,7-eleven kelmscott_105 champion dr_kelmscott,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Kelmscott Central,7-Eleven,ULP,179.9,4 Church St,KELMSCOTT,6111,South of River,Metro,fuelwatch_2026_01.csv,7-eleven kelmscott central_4 church st_kelmscott,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Landsdale,7-Eleven,ULP,169.9,8 Mullingar Way,LANDSDALE,6065,North of River,Metro,fuelwatch_2026_01.csv,7-eleven landsdale_8 mullingar way_landsdale,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Maddington South,7-Eleven,ULP,179.9,1969 Albany Hwy,MADDINGTON,6109,South of River,Metro,fuelwatch_2026_01.csv,7-eleven maddington south_1969 albany hwy_maddington,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Malaga,7-Eleven,ULP,169.9,650 Marshall Rd,MALAGA,6090,North of River,Metro,fuelwatch_2026_01.csv,7-eleven malaga_650 marshall rd_malaga,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Malvern Springs,7-Eleven,ULP,179.9,324 The Broadway,ELLENBROOK,6069,North of River,Metro,fuelwatch_2026_01.csv,7-eleven malvern springs_324 the broadway_ellenbrook,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Middle Swan,7-Eleven,ULP,185.9,40-42 Great Northern Hwy,MIDDLE SWAN,6056,East/Hills,Metro,fuelwatch_2026_01.csv,7-eleven middle swan_40-42 great northern hwy_middle swan,2026,1,January,Thursday,3,False
2026-01-01,7-Eleven Midland,7-Eleven,ULP,185.9,8 Clayton St,MIDLAND,6056,East/Hills,Metro,fuelwatch_2026_01.csv,7-eleven midland_8 clayton st_midland,2026,1,January,Thursday,3,False
